"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20628","Create accounts with edge case names","chromium","Thu Dec 11 08:32:18 UTC 2025","failed","Thu Dec 11 08:32:39 UTC 2025","","accounts/createAccount.spec.ts","",""
"","20403","Edit Salesforce Account - Account Number","chromium","Thu Dec 11 08:34:32 UTC 2025","failed","Thu Dec 11 08:34:53 UTC 2025","","accounts/editAccount.spec.ts","",""
"","20199","Create Account → Create Opportunity → Move Through All Stages","chromium","Thu Dec 11 08:52:04 UTC 2025","failed","Thu Dec 11 08:52:25 UTC 2025","Salesforce Opportunity End-to-End Lifecycle","opportunities/opportunityEndtoEnd.spec.ts","",""
"","1075","Validate permissions - Compare current vs baseline","chromium","Thu Dec 11 08:38:27 UTC 2025","passed","Thu Dec 11 08:38:28 UTC 2025","Salesforce Field Permissions API Tests","api/fieldPermissionsAPI.spec.ts","",""
"","20370","Create secondary contact with different name","chromium","Thu Dec 11 08:41:29 UTC 2025","failed","Thu Dec 11 08:41:49 UTC 2025","Salesforce Contact Tests > Multiple Contacts under same Account","contacts/createContact.spec.ts","",""
"","20527","Create accounts for all account types","chromium","Thu Dec 11 08:31:11 UTC 2025","failed","Thu Dec 11 08:31:32 UTC 2025","","accounts/createAccount.spec.ts","",""
"","20132","Create Opportunity and move to Closed Won","chromium","Thu Dec 11 08:50:58 UTC 2025","failed","Thu Dec 11 08:51:18 UTC 2025","Salesforce Opportunity Stage Movement","opportunities/moveOpportunityStages.spec.ts","",""
"","3332","Login to Salesforce","chromium","Thu Dec 11 08:38:28 UTC 2025","passed","Thu Dec 11 08:38:32 UTC 2025","","auth/login.spec.ts","",""
"","20339","Delete Salesforce Account","chromium","Thu Dec 11 08:33:25 UTC 2025","failed","Thu Dec 11 08:33:46 UTC 2025","","accounts/deleteAccount.spec.ts","",""
"","696","Create Salesforce Account via API","chromium","Thu Dec 11 08:38:24 UTC 2025","failed","Thu Dec 11 08:38:25 UTC 2025","","api/createAccountUsingAPI.spec.ts","",""
"","19813","Create primary contact","chromium","Thu Dec 11 08:40:23 UTC 2025","failed","Thu Dec 11 08:40:43 UTC 2025","Salesforce Contact Tests > Multiple Contacts under same Account","contacts/createContact.spec.ts","",""
"","20442","Edit Salesforce Account - Multiple Fields","chromium","Thu Dec 11 08:36:45 UTC 2025","failed","Thu Dec 11 08:37:05 UTC 2025","","accounts/editAccount.spec.ts","",""
"","23224","Create Salesforce Lead","chromium","Thu Dec 11 08:43:59 UTC 2025","failed","Thu Dec 11 08:44:23 UTC 2025","","leads/createLead.spec.ts","",""
"","1359","Create single Account via API with direct request","chromium","Thu Dec 11 08:38:15 UTC 2025","failed","Thu Dec 11 08:38:17 UTC 2025","Salesforce Accounts API Tests","api/accountsAPI.spec.ts","",""
"","656","Create multiple Accounts via API using data-driven approach","chromium","Thu Dec 11 08:38:20 UTC 2025","failed","Thu Dec 11 08:38:21 UTC 2025","Salesforce Accounts API Tests with Fixture","api/accountsAPI.spec.ts","",""
"","20272","Edit Salesforce Account - Edge Case Name","chromium","Thu Dec 11 08:37:52 UTC 2025","failed","Thu Dec 11 08:38:12 UTC 2025","","accounts/editAccount.spec.ts","",""
"","20409","Create Opportunity and move to Proposal/Price Quote","chromium","Thu Dec 11 08:49:52 UTC 2025","failed","Thu Dec 11 08:50:13 UTC 2025","Salesforce Opportunity Stage Movement","opportunities/moveOpportunityStages.spec.ts","",""
"","20179","Create Salesforce Account","chromium","Thu Dec 11 08:30:05 UTC 2025","failed","Thu Dec 11 08:30:25 UTC 2025","","accounts/createAccount.spec.ts","",""
"","20415","Create Opportunity and move to Qualification","chromium","Thu Dec 11 08:48:46 UTC 2025","failed","Thu Dec 11 08:49:06 UTC 2025","Salesforce Opportunity Stage Movement","opportunities/moveOpportunityStages.spec.ts","",""
"","20343","Edit Salesforce Account - Change Type","chromium","Thu Dec 11 08:35:38 UTC 2025","failed","Thu Dec 11 08:35:59 UTC 2025","","accounts/editAccount.spec.ts","",""
"","22871","Create Lead → Move through statuses → Convert","chromium","Thu Dec 11 08:45:16 UTC 2025","failed","Thu Dec 11 08:45:38 UTC 2025","Salesforce Lead End-to-End Lifecycle","leads/leadEndtoEnd.spec.ts","",""
"","1600","Generate baseline - Save current Field Permissions","chromium","Thu Dec 11 08:38:26 UTC 2025","passed","Thu Dec 11 08:38:27 UTC 2025","Salesforce Field Permissions API Tests","api/fieldPermissionsAPI.spec.ts","",""
"","20859","Create Contact under a new Account","chromium","Thu Dec 11 08:39:16 UTC 2025","failed","Thu Dec 11 08:39:37 UTC 2025","Salesforce Contact Tests","contacts/createContact.spec.ts","",""
"","20087","Create Salesforce Opportunity under a new account","chromium","Thu Dec 11 08:47:40 UTC 2025","failed","Thu Dec 11 08:48:00 UTC 2025","","opportunities/createOpportunity.spec.ts","",""
"","23138","Create and Convert Salesforce Lead","chromium","Thu Dec 11 08:42:42 UTC 2025","failed","Thu Dec 11 08:43:06 UTC 2025","","leads/convertLead.spec.ts","",""
"","22864","Validate Salesforce Lead Status","chromium","Thu Dec 11 08:46:31 UTC 2025","failed","Thu Dec 11 08:46:53 UTC 2025","","leads/leadValidation.spec.ts","",""
